,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Player 1,Group 3,Group 2,Group 6,Group 6,Group 1,Group 3
Player 2,Group 3,Group 5,Group 2,Group 3,Group 4,Group 1
Player 3,Group 6,Group 3,Group 2,Group 6,Group 3,Group 1
Player 4,Group 4,Group 4,Group 6,Group 1,Group 4,Group 3
Player 5,Group 2,Group 6,Group 6,Group 5,Group 2,Group 1
Player 6,Group 4,Group 2,Group 2,Group 2,Group 2,Group 6
Player 7,Group 1,Group 5,Group 4,Group 5,Group 3,Group 3
Player 8,Group 1,Group 4,Group 3,Group 3,Group 6,Group 2
Player 9,Group 3,Group 4,Group 5,Group 4,Group 2,Group 5
Player 10,Group 1,Group 3,Group 1,Group 2,Group 4,Group 4
Player 11,Group 4,Group 1,Group 3,Group 5,Group 5,Group 1
Player 12,Group 5,Group 3,Group 3,Group 1,Group 2,Group 2
Player 13,Group 1,Group 1,Group 5,Group 6,Group 4,Group 6
Player 14,Group 6,Group 1,Group 6,Group 3,Group 2,Group 4
Player 15,Group 4,Group 5,Group 1,Group 6,Group 6,Group 5
Player 16,Group 4,Group 6,Group 4,Group 4,Group 1,Group 2
Player 17,Group 3,Group 3,Group 4,Group 1,Group 6,Group 6
Player 18,Group 6,Group 4,Group 1,Group 5,Group 1,Group 6
Player 19,Group 2,Group 4,Group 4,Group 6,Group 5,Group 4
Player 20,Group 3,Group 6,Group 3,Group 2,Group 3,Group 4
Player 21,Group 2,Group 1,Group 2,Group 4,Group 6,Group 3
Player 22,Group 5,Group 5,Group 6,Group 4,Group 3,Group 6
Player 23,Group 6,Group 5,Group 5,Group 2,Group 5,Group 2
Player 24,Group 5,Group 6,Group 1,Group 3,Group 5,Group 3
Player 25,Group 5,Group 2,Group 5,Group 5,Group 6,Group 4
Player 26,Group 2,Group 3,Group 5,Group 3,Group 1,Group 5
Player 27,Group 6,Group 2,Group 3,Group 4,Group 4,Group 5
Player 28,Group 5,Group 1,Group 4,Group 2,Group 1,Group 1
Player 29,Group 1,Group 6,Group 2,Group 1,Group 5,Group 5
Player 30,Group 2,Group 2,Group 1,Group 1,Group 3,Group 2
